Ball,Event,Score,Commentary,Bowler,Batsman,Innings,MatchID,Venue,Toss,Series,Season,Player_Of_The_Match,Hours_of_play_(local_time),Match_days,RCB_Player_Replacement,KKR_Player_Replacement,Umpires,TV_Umpire,Reserve_Umpire,Match_Referee,Points
14.4,"Harshit Rana to Patidar,2 runs",2 runs,"To the left of short fine leg but not a bad ball, oh that's a good stop close to the boundary too. The fielder stops it by plonking his shoe in the way. Was a length ball around off to which Patidar went across and flicked late. From deep in the crease, off the back foot",Harshit Rana,Patidar,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
14.3,"Harshit Rana to Patidar,FOUR runs",FOUR runs,"Bad ball. Down leg with short fine leg in, the leg glance was effectively a free hit.",Harshit Rana,Patidar,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
14.2,"Harshit Rana to Patidar,FOUR runs",FOUR runs,"Launchedjustover cover, who leaps up and throws his left hand up but it's not in reach. Was a length ball to which Patidar made room and forced a drive",Harshit Rana,Patidar,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
14.1,"Harshit Rana to Kohli,1 run",1 run,"Length just outside off, cloths a heave to long-on",Harshit Rana,Kohli,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
13.6,"Narine to Kohli,1 run",1 run,"Length on middle and leg, worked to long-on",Narine,Kohli,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
13.5,"Narine to Patidar,1 run",1 run,"Waits for the slow length ball that landed on off to spin to leg, twirls quickly while pulling the ball to deep square leg",Narine,Patidar,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
13.4,"Narine to Kohli,1 run",1 run,"Length on off, punched to deep midwicket",Narine,Kohli,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
13.3,"Narine to Patidar,1 run",1 run,Flicked off the back foot through backward square leg,Narine,Patidar,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
13.2,"Narine to Patidar,SIX runs",SIX runs,"That has been monstered over long-on. Patidar got leg side of the ball, lunged a bit and heaved across the line. It was an on-stumps ball that sailed 91 metres",Narine,Patidar,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
13.1,"Narine to Kohli,1 run",1 run,"Length around off, flicked softly to square leg.",Narine,Kohli,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
12.6,"Harshit Rana to Kohli,1 run",1 run,Dances down and taps the rising length ball with an open-faced bat to point,Harshit Rana,Kohli,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
12.5,"Harshit Rana to Kohli,FOUR runs",FOUR runs,"Flayed over cover, Kohli brings up fifty. Entire dug out is up, crowd cheering on too. He raises his bat. Was a length ball with a bit of width that was flashed with a mostly horizontal bat. First four in 14 balls",Harshit Rana,Kohli,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
12.4,"Harshit Rana to Patidar,1 run",1 run,"Slower ball is full on fourth, flicked to long-on",Harshit Rana,Patidar,RCB,1473438,"Eden Gardens, Kolkata","Royal Challengers Bengaluru, elected to field first",Indian Premier League,2025,Krunal Pandya,"19.30 start, First Session 19.30-21.00, Interval 21.00-21.20, Second Session 21.20-22.50",22 March 2025 - night (20-over match),"Impact player: Devdutt Padikkal in, Suyash Sharma out (1st  innings, 15.6 ov)","Impact player: Vaibhav Arora in, Angkrish Raghuvanshi out (1st  innings, 19.6 ov)",Abhijeet Bengeri Vinod Seshan,Jayaraman Madanagopal,Tanmay Srivastava,Prakash Bhatt,"Royal Challengers Bengaluru 2, Kolkata Knight Riders 0"
